input,output,hint,weight,color
boăng,boăng,,0,
bo̍h,bo̍h,,0,
bo̍h,莫,,286,
bo̍k,Bo̍k,,700,
bo̍k,bo̍k,,0,
bo̍k,木,,496,
bo̍k,目,,496,
bo̍k,穆,,601,
bo̍k,膜,,66,
bo̍k,莫,,486,
bo̍k chheⁿ,Bo̍k-chheⁿ,,700,
bo̍k chheⁿ,木星,,809,
bo̍k chhoan,Bo̍k-chhoan,,700,
bo̍k chhoan,木村,,809,
bo̍k chhù,bo̍k-chhù,,700,
bo̍k chhù,目次,,809,
bo̍k chiân,bo̍k-chiân,,709,
bo̍k chiân,目前,,818,
bo̍k chêng,bo̍k-chêng,,713,
bo̍k chêng,目前,,822,
bo̍k le̍k,目錄,,809,
bo̍k lio̍k,bo̍k-lio̍k,,713,
bo̍k lio̍k,目錄,,822,
bo̍k lo̍k,bo̍k-lio̍k,,700,
bo̍k phiau,bo̍k-phiau,,713,
bo̍k phiau,目標,,822,
bo̍k siu,bu̍t-siu,,700,
bo̍k su,bo̍k-su,,713,
bo̍k su,牧師,,822,
bo̍k su niû,bo̍k-su-niû,,700,
bo̍k su niû,牧師娘,,809,
bo̍k tek,bo̍k-tek,,713,
bo̍k tek,目的,,822,
bo̍͘h,bo̍͘h,,0,
bo̤,bo̤,,0,
bo̤e,bo̤e,,0,
bo̤eh,bo̤eh,,0,
bo̤h,bo̤h,,0,
bo̤h,卜,,299,
bo̤̍eh,bo̤̍eh,,0,
bo̤̍h,bo̤̍h,,0,
bo͘,bo͘,,713,
bo͘,摸,,868,
bo͘h,bo͘h,,0,
bu,bu,,0,
buh,buh,,0,
bui,bui,,0,
buih,buih,,0,
bun,bun,,0,
but,but,,0,
but,勿,48+,991,
but,魩,,92,
but but,but-but,,713,
but but,勿勿,,622,
but á hî,but-á-hî,,713,
but á hî,魩仔魚,,822,
but á hî bê,but-á-hî bê,,700,
but á hî bê,魩仔魚糜,,809,
but á hî moâi,but-á-hî moâi,,700,
but á hî moâi,魩仔魚糜,,809,
but á hî môe,but-á-hî môe,,700,
but á hî môe,魩仔魚糜,,809,
bu̍h,bu̍h,,0,
bu̍ih,bu̍ih,,0,
bu̍t,bu̍t,,700,
bu̍t,勿,,600,
bu̍t,勿,48+,991,
bu̍t,没,,497,
bu̍t,物,,491,
bu̍t chit,bu̍t-chit,,700,
bu̍t chit,物質,,809,
bu̍t lân tî,bu̍t-lân-tî,,700,
bu̍t lân tî,勿蘭池,,809,
