input,output,annotation,weight,category
saⁿ,相,,999,
saⁿ,衫,,999,
sim,sim,,999,
sim,心,,999,
sin,紳,,999,
sin lâng,sin lâng,sin ê lâng,999,
sin lâng,sin-lâng,tùi sin-niû,999,
sin lâng,新人,,999,
sio,sio,,999,
sio,sio-,,999,
sio,燒,,999,
sio,相,,999,
sioh,sioh,,999,
sioh,惜,,999,
siáⁿ mih,siáⁿ-mih,,999,
siáⁿ mih,省乜,,999,
siáⁿ mi̍h,siáⁿ-mih,,999,
siáⁿ mi̍h,省乜,,999,
siáⁿ mí,siáⁿ-mih,,999,
siáⁿ mí,省乜,,999,
sió,sió,,999,
sió,小,,999,
siā,Siā,,999,
siāng,siāng,,999,
siāng,上,,999,
siāng khoán,siāng khoán,,999,
siāng khoán,同欵,,999,
siōng,siōng,,999,
siōng,上,,999,
siūⁿ,siūⁿ,,999,
siūⁿ,想,,999,
soah,soah,,999,
soah,煞,,999,
sáⁿ mih,siáⁿ-mih,,999,
sáⁿ mih,省乜,,999,
sáⁿ mi̍h,siáⁿ-mih,,999,
sáⁿ mi̍h,省乜,,999,
sì kok,四國,,999,
sí,sí,,999,
sí,死,,999,
sím mih,sím-mih,,999,
sím mih,省乜,,999,
sím mi̍h,sím-mih,,999,
sím mi̍h,省乜,,999,
sín,矧,,999,
sî,sî,,999,
sî,時,,999,
sî sè,sî-sè,,999,
sî sè,時世,,999,
sî sè,時勢,,999,
sòaⁿ thâu,Sòaⁿ-thâu,,999,
sòaⁿ thâu,汕頭,,999,
só͘,só͘,,999,
só͘,所,,999,
só͘ chāi,só͘-chāi,,999,
só͘ chāi,所在,,999,
só͘ í,só͘-í,,999,
só͘ í,所以,,999,
sù kok,四國,,999,
sī,sī,,999,
sī,是,,999,
ta,ta,,999,
ta,乾,,999,
ta,焦,,999,
ta,礁,,999,
tang cheh,Tang-cheh,,999,
tang cheh,冬節,,999,
tang choeh,Tang-choeh,,999,
tang choeh,冬節,,999,
taⁿ,taⁿ,,999,
taⁿ,今,,999,
teh,teh,,999,
teh,塊,,999,
te̍k,蟄,,999,
thang,thang,,999,
thang,通,,999,
the̍h,the̍h,,999,
the̍h,宅,,999,
the̍h,提,,999,
thiau,祧,,999,
thiaⁿ,thiaⁿ,,999,
thiaⁿ,听,,999,
thiaⁿ,聽,,999,
thoàn,煅,,999,
thoàn,鍛,,999,
tho̍k chiá,tho̍k-chiá,,999,
tho̍k chiá,讀者,,999,
thàu chá,thàu-chá,,999,
thàu chá,透早,,999,
tia̍k,着,,999,
tih,tih,,999,
tih,塊,,999,
tih,致,,999,
tio̍h,tio̍h,,999,
tio̍h,着,,999,
tio̍h sī,tio̍h sī,,999,
tio̍h sī,着是,,999,
tio̍h ài,tio̍h ài,,999,
tio̍h ài,着愛,,999,
tio̍k,着,,999,
tit tio̍h,tit tio̍h,,999,
tit tio̍h,得着,,999,
tiāⁿ tio̍h,tiāⁿ-tio̍h,,999,
tiāⁿ tio̍h,定着,,999,
tiō,Tiō,,999,
tiō,tiō,,999,
tiō,着,,999,
tiō,趙,,999,
tiō sī,tiō sī,,999,
tiō sī,着是,,999,
ti̍p,蟄,,999,
ti̍t,蟄,,999,
to,to,,999,
to,刀,,999,
to,都,,999,
toàn,煅,泉音,999,
toàn,鍛,泉音,999,
to̍h,tio̍h,,999,
to̍h,着,,999,
to̍h sī,tio̍h sī,,999,
to̍h sī,着是,,999,
tán le,tán ·le,,999,
tán le,等レ,,999,
tán le,等咧,,999,
tán le,等塊,,999,
tán le,等礼,,999,
tán leh,tán ·le,,999,
tán leh,等レ,,999,
tán leh,等咧,,999,
tán leh,等塊,,999,
tán leh,等礼,,999,
tán thāi,tán-thāi,,999,
tán thāi,等待,,999,
tâi oân,Tâi-oân,,999,
tâi oân,台員,,999,
tâi oân,台灣,,999,
tâi oân lâng,Tâi-oân lâng,,999,
tâi oân lâng,台員人,,999,
tâi oân lâng,台灣人,,999,
téng î,téng-î,,999,
téng î,等于,,999,
téng û,téng-û,,999,
téng û,等于,,999,
tî pê,tî-pê,,999,
tó,tó,,999,
tó,島,,999,
tó lo̍h,tó lo̍h,= tó ūi,999,
tó lo̍h,tó-lo̍h,= tó-ūi,999,
tó lo̍h,叨落,= 叨位,999,
tó ūi,tó ūi,,999,
tó ūi,tó-ūi,,999,
tó ūi,叨位,,999,
tó͘,島,,999,
tùi,tùi,,999,
tùi,對,,999,
tú tio̍h,tú tio̍h,,999,
tú tio̍h,抵着,,999,
tú tio̍h,𫔘着,,999,
tāi chì,tāi-chì,,999,
tāi chì,事志,,999,
tāi chì,代志,,999,
tāu tiâⁿ,Tōa-tiū-tiâⁿ,,999,
tāu tiâⁿ,大稻埕,,999,
tī,tī,,999,
tī,治,,999,
tī le,tī ·teh,,999,
tī le,治レ,,999,
tī le,治咧,,999,
tī le,治塊,,999,
tī le,治礼,,999,
tī leh,tī teh,,999,
tī leh,tī ·teh,,999,
tī leh,治レ,,999,
tī leh,治咧,,999,
tī leh,治塊,,999,
tī leh,治礼,,999,
tī teh,tī teh,,999,
tī teh,tī ·teh,,999,
tī teh,治レ,,999,
tī teh,治咧,,999,
tī teh,治塊,,999,
tī teh,治礼,,999,
tō,tio̍h,,999,
tō,tiō,,999,
tō,着,,999,
tō sī,tio̍h sī,,999,
tō sī,tiō sī,,999,
tō sī,着是,,999,
tōa,tōa,,999,
tōa,大,,999,
tōa ché,tōa-ché,,999,
tōa ché,大姉,,999,
tōa ché,大姐,,999,
tōa chí,tōa-chí,,999,
tōa chí,大姉,,999,
tōa lâng,tōa-lâng,,999,
tōa lâng,大人,,999,
tōa tiū tiâⁿ,Tōa-tiū-tiâⁿ,,999,
tōa tiū tiâⁿ,大稻埕,,999,
ài,ài,,999,
ài,愛,,999,
á,-á,,999,
á,iá,,999,
á,á,,999,
á,亜,,999,
á,亞,,999,
á,仔,,999,
á,夭,,999,
á,野,,999,
á bô,iá bô,,999,
á bô,夭無,,999,
á bē,iáu bē,,999,
á bē,夭未,,999,
á bōe,iáu bōe,,999,
á bōe,夭未,,999,
á nā,iá nā,,999,
á nā,á nā,,999,
á nā,夭若,,999,
á nā,夭那,,999,
á sī,á sī,,999,
á sī,á-sī,,999,
á sī,亜是,,999,
á sī,亞是,,999,
an,安,,999,
an,an,,999,
án,án-,,999,
án,安,,999,
án ne,án-ne,,999,
án ne,按呢,,999,
án ni,án-ne,,999,
án ni,按呢,,999,
án niá,án-niá,,999,
án niá,安領,,999,
ê,ê,,999,
ê,个,,999,
ê,兮,,999,
ê,鞋,,999,
ê á,ê-á,,999,
ê á,鞋仔,,999,
í keng,í-keng,,999,
í keng,以經,,999,
óa sin,óa sin,,999,
óa sin,倚身,,999,
ôe,ôe,,999,
ôe,鞋,,999,
ô̤e,鞋,,999,
ú súi,Ú-súi,,999,
ú súi,雨水,,999,
ā,iā,,999,
ā,也,,999,
ā sái,ā-sái,,999,
ā sái,也使,,999,
